ora,flag
07:30:00,0
07:48:00,0
08:02:00,3
08:20:00,3
08:29:00,0
08:38:00,3
08:47:00,0
08:56:00,3
09:14:00,3
09:23:00,0
09:32:00,3
09:41:00,0
09:50:00,3
10:08:00,3
10:17:00,0
10:26:00,3
10:35:00,0
11:11:00,0
11:29:00,0
12:05:00,0
12:23:00,0
12:32:00,3
12:50:00,3
12:59:00,0
13:08:00,3
13:17:00,0
13:26:00,3
13:44:00,3
13:53:00,0
14:02:00,3
14:11:00,0
14:51:00,0
15:39:00,0
15:51:00,2
16:15:00,2
16:27:00,0
16:39:00,2
17:03:00,2
17:15:00,0
17:27:00,2
17:51:00,2
18:03:00,0
18:15:00,2
18:39:00,2
18:51:00,0
19:03:00,2
19:27:00,2
19:39:00,0
20:27:00,
